,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes,plage_interval
5320,connect,ended,-228.0,,retour en avance
5321,mobile,ended,207.0,,3h-4h
5322,mobile,ended,-29.0,,retour en avance
5323,mobile,ended,-51.0,,retour en avance
5324,mobile,ended,,,>9h
5325,mobile,ended,4.0,,1m-15m
5326,mobile,ended,27.0,,16m-30m
5327,mobile,ended,44.0,,31m-45m
5328,mobile,ended,34.0,,31m-45m
5329,mobile,ended,82.0,,1h-2h
5330,mobile,ended,-11.0,,retour en avance
5331,mobile,ended,-839.0,,retour en avance
5332,mobile,ended,-5.0,60.0,retour en avance
5333,mobile,ended,83.0,,1h-2h
5334,mobile,ended,-95.0,,retour en avance
5335,mobile,ended,,,>9h
5336,mobile,ended,76.0,,1h-2h
5337,connect,ended,12.0,,1m-15m
5338,mobile,ended,,,>9h
5339,mobile,ended,10.0,,1m-15m
5340,mobile,ended,70.0,720.0,1h-2h
5341,mobile,ended,741.0,,>9h
5342,mobile,canceled,,,>9h
5343,mobile,ended,73.0,,1h-2h
5344,connect,ended,-107.0,,retour en avance
5345,connect,ended,-384.0,,retour en avance
5346,mobile,ended,2.0,,1m-15m
5347,mobile,ended,18.0,,16m-30m
5348,mobile,ended,18.0,,16m-30m
5349,mobile,ended,-684.0,,retour en avance
5350,connect,ended,102.0,,1h-2h
5351,connect,ended,-2.0,,retour en avance
5352,mobile,ended,2642.0,,>9h
5353,mobile,canceled,,,>9h
5354,mobile,ended,,,>9h
5355,mobile,ended,,,>9h
5356,mobile,ended,-13.0,,retour en avance
5357,mobile,ended,,,>9h
5358,connect,ended,-50.0,660.0,retour en avance
5359,mobile,ended,42.0,,31m-45m
5360,mobile,ended,-8.0,,retour en avance
5361,connect,ended,266.0,,4h-5h
5362,mobile,ended,240.0,,3h-4h
5363,mobile,ended,14.0,,1m-15m
5364,connect,ended,,,>9h
5365,mobile,ended,-203.0,,retour en avance
5366,mobile,ended,-67.0,,retour en avance
5367,mobile,ended,-22.0,,retour en avance
5368,mobile,canceled,,,>9h
5369,mobile,canceled,,,>9h
5370,connect,ended,-370.0,630.0,retour en avance
5371,mobile,ended,113.0,,1h-2h
5372,mobile,ended,-25.0,,retour en avance
5373,mobile,ended,-1375.0,,retour en avance
5374,mobile,ended,-19.0,,retour en avance
5375,mobile,ended,1207.0,,>9h
5376,mobile,ended,42.0,,31m-45m
5377,mobile,ended,4.0,,1m-15m
5378,mobile,ended,164.0,,2h-3h
5379,mobile,ended,29.0,,16m-30m
5380,connect,ended,-107.0,,retour en avance
5381,mobile,ended,,,>9h
5382,mobile,ended,7.0,,1m-15m
5383,connect,ended,-37.0,,retour en avance
5384,mobile,ended,465.0,,7h-8h
5385,mobile,ended,-95.0,,retour en avance
5386,mobile,ended,87.0,,1h-2h
5387,mobile,ended,1459.0,,>9h
5388,mobile,ended,-29.0,,retour en avance
5389,mobile,ended,264.0,,4h-5h
5390,mobile,ended,8.0,,1m-15m
5391,mobile,canceled,,,>9h
5392,mobile,ended,52.0,,46m-60m
5393,mobile,ended,30.0,,16m-30m
5394,connect,ended,-618.0,,retour en avance
5395,mobile,ended,43.0,,31m-45m
5396,connect,ended,-54.0,,retour en avance
5397,mobile,canceled,,,>9h
5398,connect,ended,-117.0,,retour en avance
5399,mobile,ended,25.0,,16m-30m
5400,mobile,ended,70.0,,1h-2h
5401,mobile,ended,57.0,,46m-60m
5402,mobile,ended,64.0,,1h-2h
5403,mobile,ended,21.0,,16m-30m
5404,mobile,ended,393.0,,6h-7h
5405,mobile,ended,,,>9h
5406,mobile,ended,29.0,,16m-30m
5407,mobile,ended,14.0,,1m-15m
5408,mobile,ended,-69.0,,retour en avance
5409,connect,ended,9.0,,1m-15m
5410,connect,ended,-3.0,,retour en avance
5411,mobile,ended,61.0,,1h-2h
5412,mobile,ended,77.0,,1h-2h
5413,mobile,ended,12.0,,1m-15m
5414,mobile,canceled,,,>9h
5415,mobile,ended,-943.0,,retour en avance
5416,mobile,ended,-171.0,30.0,retour en avance
5417,mobile,ended,-47.0,,retour en avance
5418,mobile,ended,-9.0,,retour en avance
5419,connect,ended,14.0,,1m-15m
5420,mobile,ended,,,>9h
5421,mobile,ended,-125.0,,retour en avance
5422,mobile,ended,213.0,,3h-4h
5423,mobile,ended,,,>9h
5424,mobile,ended,-18.0,,retour en avance
5425,mobile,ended,1590.0,,>9h
5426,mobile,ended,138.0,,2h-3h
5427,mobile,ended,96.0,,1h-2h
5428,connect,ended,-178.0,,retour en avance
5429,mobile,ended,1498.0,,>9h
5430,mobile,canceled,,,>9h
5431,connect,ended,103.0,,1h-2h
5432,connect,canceled,,210.0,>9h
5433,mobile,ended,,,>9h
5434,mobile,ended,-43.0,,retour en avance
5435,mobile,canceled,,,>9h
5436,mobile,ended,92.0,,1h-2h
5437,mobile,ended,17.0,720.0,16m-30m
5438,mobile,ended,-59.0,,retour en avance
5439,mobile,ended,,720.0,>9h
5440,mobile,canceled,,,>9h
5441,mobile,ended,,,>9h
5442,mobile,ended,-186.0,,retour en avance
5443,mobile,canceled,,,>9h
5444,connect,ended,-33.0,,retour en avance
5445,connect,ended,234.0,,3h-4h
5446,mobile,ended,9.0,,1m-15m
5447,mobile,ended,13.0,,1m-15m
5448,connect,ended,98.0,,1h-2h
5449,mobile,ended,-39.0,,retour en avance
5450,mobile,ended,12.0,,1m-15m
5451,mobile,ended,29.0,,16m-30m
5452,mobile,ended,891.0,,>9h
5453,mobile,ended,6.0,,1m-15m
5454,mobile,ended,-21.0,,retour en avance
5455,mobile,ended,-39.0,,retour en avance
5456,mobile,ended,27.0,,16m-30m
5457,connect,ended,6.0,,1m-15m
5458,mobile,ended,21.0,,16m-30m
5459,mobile,ended,-9.0,,retour en avance
5460,mobile,ended,42.0,,31m-45m
5461,mobile,ended,2583.0,,>9h
5462,mobile,ended,90.0,,1h-2h
5463,mobile,ended,163.0,,2h-3h
5464,connect,ended,50.0,,46m-60m
5465,mobile,ended,1.0,,1m-15m
5466,mobile,canceled,,,>9h
5467,mobile,ended,,,>9h
5468,mobile,ended,725.0,,>9h
5469,mobile,ended,61.0,,1h-2h
5470,connect,canceled,,,>9h
5471,mobile,ended,1257.0,,>9h
5472,connect,canceled,,,>9h
5473,mobile,canceled,,60.0,>9h
5474,mobile,ended,85.0,,1h-2h
5475,mobile,ended,39.0,,31m-45m
5476,connect,ended,-146.0,,retour en avance
5477,mobile,canceled,,,>9h
5478,mobile,ended,-67.0,,retour en avance
5479,mobile,ended,-13.0,,retour en avance
5480,mobile,ended,-250.0,,retour en avance
5481,mobile,ended,1288.0,,>9h
5482,connect,ended,69.0,,1h-2h
5483,mobile,ended,,,>9h
5484,mobile,canceled,,,>9h
5485,mobile,ended,-57.0,,retour en avance
5486,mobile,ended,-97.0,690.0,retour en avance
5487,mobile,ended,249.0,,4h-5h
5488,mobile,ended,44.0,,31m-45m
5489,mobile,ended,122.0,,2h-3h
5490,mobile,ended,185.0,,3h-4h
5491,mobile,ended,137.0,,2h-3h
5492,mobile,ended,27.0,,16m-30m
5493,mobile,ended,62.0,,1h-2h
5494,connect,ended,-4.0,720.0,retour en avance
5495,mobile,canceled,,,>9h
5496,mobile,ended,195.0,,3h-4h
5497,mobile,ended,-282.0,,retour en avance
5498,mobile,ended,138.0,,2h-3h
5499,connect,ended,9.0,,1m-15m
5500,mobile,ended,,,>9h
5501,mobile,ended,134.0,,2h-3h
5502,mobile,ended,,,>9h
5503,mobile,ended,4.0,,1m-15m
5504,mobile,ended,61.0,,1h-2h
5505,mobile,ended,101.0,,1h-2h
5506,mobile,canceled,,,>9h
5507,connect,ended,-55.0,660.0,retour en avance
5508,mobile,ended,-793.0,,retour en avance
5509,mobile,canceled,,,>9h
5510,mobile,ended,-14.0,,retour en avance
5511,mobile,ended,75.0,,1h-2h
5512,mobile,ended,133.0,,2h-3h
5513,mobile,ended,127.0,,2h-3h
5514,connect,canceled,,,>9h
5515,connect,ended,-77.0,480.0,retour en avance
5516,mobile,ended,-17.0,,retour en avance
5517,connect,ended,281.0,0.0,4h-5h
5518,mobile,canceled,,,>9h
5519,mobile,ended,44.0,,31m-45m
5520,mobile,ended,,,>9h
5521,mobile,ended,15.0,,1m-15m
5522,mobile,canceled,,,>9h
5523,mobile,ended,255.0,,4h-5h
5524,mobile,ended,15.0,,1m-15m
5525,connect,ended,-32.0,0.0,retour en avance
5526,mobile,canceled,,,>9h
5527,mobile,ended,69.0,,1h-2h
5528,mobile,ended,-10.0,420.0,retour en avance
5529,mobile,ended,,,>9h
5530,mobile,canceled,,,>9h
5531,mobile,ended,700.0,,>9h
5532,mobile,ended,27.0,,16m-30m
5533,mobile,ended,20.0,,16m-30m
5534,connect,canceled,,,>9h
5535,mobile,canceled,,,>9h
5536,mobile,ended,-22.0,,retour en avance
5537,mobile,ended,4.0,,1m-15m
5538,mobile,ended,,,>9h
5539,mobile,ended,192.0,,3h-4h
5540,connect,ended,-78.0,,retour en avance
5541,mobile,ended,151.0,,2h-3h
5542,mobile,ended,,,>9h
5543,mobile,canceled,,,>9h
5544,mobile,canceled,,,>9h
5545,mobile,ended,-36.0,,retour en avance
5546,mobile,ended,-3.0,,retour en avance
5547,connect,ended,172.0,120.0,2h-3h
5548,mobile,ended,,,>9h
5549,mobile,ended,-13.0,,retour en avance
5550,mobile,ended,118.0,,1h-2h
5551,mobile,canceled,,,>9h
5552,connect,ended,22.0,,16m-30m
5553,connect,ended,1.0,,1m-15m
5554,mobile,ended,-5.0,,retour en avance
5555,mobile,canceled,,,>9h
5556,mobile,ended,217.0,,3h-4h
5557,mobile,canceled,,,>9h
5558,mobile,ended,-29.0,,retour en avance
5559,mobile,ended,354.0,,5h-6h
5560,mobile,ended,-41.0,,retour en avance
5561,connect,ended,-81.0,,retour en avance
5562,connect,canceled,,,>9h
5563,mobile,ended,223.0,,3h-4h
5564,connect,ended,76.0,,1h-2h
5565,mobile,ended,15.0,,1m-15m
5566,mobile,ended,,,>9h
5567,mobile,ended,-15.0,510.0,retour en avance
5568,connect,ended,-354.0,,retour en avance
5569,mobile,ended,1.0,,1m-15m
5570,mobile,ended,-6.0,,retour en avance
5571,mobile,ended,11.0,,1m-15m
5572,mobile,ended,52.0,,46m-60m
5573,mobile,canceled,,,>9h
5574,mobile,ended,3.0,330.0,1m-15m
5575,mobile,ended,-55.0,,retour en avance
5576,mobile,ended,-43.0,,retour en avance
5577,mobile,ended,-29.0,,retour en avance
5578,connect,ended,14.0,,1m-15m
5579,connect,ended,7.0,,1m-15m
5580,mobile,ended,-174.0,,retour en avance
5581,connect,canceled,,,>9h
5582,mobile,canceled,,,>9h
5583,mobile,canceled,,,>9h
5584,connect,ended,1.0,,1m-15m
5585,connect,canceled,,,>9h
5586,connect,ended,19.0,0.0,16m-30m
5587,connect,ended,-164.0,690.0,retour en avance
5588,connect,canceled,,,>9h
5589,mobile,ended,254.0,660.0,4h-5h
5590,mobile,ended,-140.0,,retour en avance
5591,mobile,ended,62.0,,1h-2h
5592,mobile,ended,125.0,,2h-3h
5593,mobile,ended,,0.0,>9h
5594,mobile,ended,55.0,,46m-60m
5595,mobile,ended,58.0,,46m-60m
5596,mobile,canceled,,,>9h
5597,mobile,ended,-93.0,,retour en avance
5598,connect,canceled,,,>9h
5599,mobile,ended,-6.0,,retour en avance
5600,mobile,ended,,,>9h
5601,mobile,ended,,,>9h
5602,mobile,ended,-133.0,,retour en avance
5603,mobile,ended,-1.0,,retour en avance
5604,connect,ended,-601.0,,retour en avance
5605,mobile,ended,78.0,,1h-2h
5606,mobile,ended,,,>9h
5607,mobile,ended,-6.0,,retour en avance
5608,mobile,canceled,,,>9h
5609,connect,canceled,,,>9h
5610,mobile,ended,252.0,,4h-5h
5611,connect,ended,-54.0,,retour en avance
5612,mobile,ended,-78.0,,retour en avance
5613,mobile,ended,,,>9h
5614,mobile,ended,22.0,,16m-30m
5615,mobile,ended,-46.0,,retour en avance
5616,mobile,ended,8.0,,1m-15m
5617,mobile,ended,-5.0,,retour en avance
5618,mobile,ended,-1126.0,,retour en avance
5619,connect,ended,82.0,,1h-2h
5620,mobile,ended,-37.0,690.0,retour en avance
5621,connect,canceled,,,>9h
5622,mobile,ended,316.0,,5h-6h
5623,mobile,ended,204.0,,3h-4h
5624,mobile,ended,,,>9h
5625,mobile,ended,-15.0,,retour en avance
5626,connect,ended,-1.0,,retour en avance
5627,mobile,ended,28.0,,16m-30m
5628,mobile,ended,25.0,,16m-30m
5629,connect,ended,5.0,,1m-15m
5630,connect,canceled,,,>9h
5631,connect,ended,116.0,300.0,1h-2h
5632,mobile,ended,-16.0,,retour en avance
5633,connect,ended,-37.0,,retour en avance
5634,mobile,ended,-232.0,30.0,retour en avance
5635,mobile,ended,100.0,,1h-2h
5636,mobile,canceled,,,>9h
5637,mobile,canceled,,,>9h
5638,connect,ended,,,>9h
5639,connect,canceled,,,>9h
5640,mobile,canceled,,,>9h
5641,connect,ended,68.0,,1h-2h
5642,mobile,ended,8.0,,1m-15m
5643,mobile,ended,122.0,,2h-3h
5644,mobile,ended,-159.0,,retour en avance
5645,mobile,ended,-84.0,,retour en avance
5646,mobile,ended,-60.0,,retour en avance
5647,mobile,ended,243.0,,4h-5h
5648,mobile,ended,289.0,,4h-5h
5649,mobile,ended,-19.0,,retour en avance
5650,connect,ended,6.0,0.0,1m-15m
5651,mobile,ended,,,>9h
5652,mobile,canceled,,,>9h
5653,mobile,ended,34.0,,31m-45m
5654,mobile,ended,163.0,,2h-3h
5655,mobile,ended,-76.0,,retour en avance
5656,connect,ended,-291.0,,retour en avance
5657,connect,ended,74.0,,1h-2h
5658,mobile,canceled,,,>9h
5659,mobile,ended,25.0,,16m-30m
5660,mobile,canceled,,,>9h
5661,connect,ended,8.0,,1m-15m
5662,connect,ended,24.0,,16m-30m
5663,mobile,ended,35.0,,31m-45m
5664,connect,ended,90.0,,1h-2h
5665,mobile,ended,13.0,,1m-15m
5666,mobile,ended,51.0,,46m-60m
5667,mobile,ended,208.0,,3h-4h
5668,mobile,ended,2855.0,,>9h
5669,mobile,ended,17.0,,16m-30m
5670,mobile,ended,-44.0,,retour en avance
5671,mobile,ended,-50.0,,retour en avance
5672,mobile,ended,147.0,,2h-3h
5673,connect,canceled,,,>9h
5674,connect,ended,-12.0,,retour en avance
5675,connect,ended,-2.0,,retour en avance
5676,mobile,canceled,,,>9h
5677,mobile,ended,108.0,,1h-2h
5678,connect,ended,-30.0,,retour en avance
5679,mobile,ended,34.0,,31m-45m
5680,connect,canceled,,,>9h
5681,mobile,ended,12.0,,1m-15m
5682,mobile,ended,80.0,,1h-2h
5683,mobile,ended,,,>9h
5684,connect,canceled,,,>9h
5685,mobile,ended,-41.0,,retour en avance
5686,mobile,ended,-1148.0,660.0,retour en avance
5687,mobile,ended,4.0,,1m-15m
5688,mobile,ended,-27.0,,retour en avance
5689,mobile,ended,-933.0,,retour en avance
5690,mobile,ended,-221.0,,retour en avance
5691,connect,ended,4.0,,1m-15m
5692,connect,ended,-678.0,,retour en avance
5693,mobile,ended,9.0,,1m-15m
5694,mobile,ended,-8.0,,retour en avance
5695,mobile,ended,294.0,,4h-5h
5696,mobile,ended,38.0,,31m-45m
5697,connect,canceled,,,>9h
5698,mobile,ended,63.0,,1h-2h
5699,mobile,ended,528.0,,>9h
5700,mobile,ended,,,>9h
5701,connect,ended,40.0,660.0,31m-45m
5702,connect,ended,149.0,,2h-3h
5703,mobile,ended,-25.0,,retour en avance
5704,mobile,ended,77.0,720.0,1h-2h
5705,mobile,ended,3.0,,1m-15m
5706,mobile,ended,15.0,,1m-15m
5707,mobile,ended,36.0,,31m-45m
5708,mobile,ended,1.0,,1m-15m
5709,mobile,ended,124.0,,2h-3h
5710,mobile,ended,,,>9h
5711,mobile,ended,331.0,,5h-6h
5712,mobile,ended,28.0,,16m-30m
5713,connect,ended,-63.0,330.0,retour en avance
5714,mobile,ended,-54.0,,retour en avance
5715,mobile,canceled,,,>9h
5716,mobile,ended,-167.0,,retour en avance
5717,mobile,ended,264.0,,4h-5h
5718,mobile,ended,,,>9h
5719,mobile,ended,17.0,,16m-30m
5720,connect,canceled,,,>9h
5721,mobile,canceled,,,>9h
5722,mobile,ended,-513.0,,retour en avance
5723,connect,ended,-85.0,,retour en avance
5724,connect,ended,23.0,,16m-30m
5725,connect,ended,-22.0,270.0,retour en avance
5726,connect,ended,-4.0,,retour en avance
5727,mobile,ended,,,>9h
5728,connect,ended,5.0,,1m-15m
5729,mobile,ended,91.0,,1h-2h
5730,mobile,ended,,,>9h
5731,connect,ended,-4.0,,retour en avance
5732,connect,ended,81.0,510.0,1h-2h
5733,mobile,ended,1056.0,,>9h
5734,mobile,ended,,,>9h
5735,connect,ended,84.0,,1h-2h
5736,connect,canceled,,690.0,>9h
5737,connect,ended,80.0,,1h-2h
5738,mobile,ended,41.0,,31m-45m
5739,mobile,ended,-993.0,,retour en avance
5740,connect,ended,-15.0,240.0,retour en avance
5741,mobile,ended,29.0,,16m-30m
5742,mobile,canceled,,,>9h
5743,mobile,canceled,,,>9h
5744,mobile,ended,93.0,,1h-2h
5745,mobile,ended,,,>9h
5746,mobile,canceled,,,>9h
5747,mobile,ended,4.0,,1m-15m
5748,mobile,ended,1.0,,1m-15m
5749,mobile,ended,52.0,,46m-60m
5750,mobile,ended,,,>9h
5751,mobile,ended,1147.0,60.0,>9h
5752,mobile,ended,-172.0,,retour en avance
5753,mobile,ended,-40.0,,retour en avance
5754,mobile,ended,-4.0,,retour en avance
5755,connect,ended,-750.0,,retour en avance
5756,mobile,ended,47.0,,46m-60m
5757,connect,ended,139.0,630.0,2h-3h
5758,mobile,ended,-175.0,,retour en avance
5759,connect,ended,46.0,90.0,46m-60m
5760,mobile,canceled,,210.0,>9h
5761,connect,ended,-9.0,,retour en avance
5762,mobile,ended,-23.0,,retour en avance
5763,mobile,ended,-130.0,,retour en avance
5764,mobile,canceled,,,>9h
5765,connect,canceled,,,>9h
5766,mobile,ended,-62.0,180.0,retour en avance
5767,mobile,ended,-145.0,,retour en avance
5768,mobile,ended,-27.0,,retour en avance
5769,mobile,canceled,,,>9h
5770,mobile,ended,13.0,,1m-15m
5771,mobile,canceled,,,>9h
5772,connect,ended,94.0,,1h-2h
5773,mobile,ended,1564.0,,>9h
5774,mobile,ended,-89.0,,retour en avance
5775,mobile,ended,155.0,,2h-3h
5776,connect,ended,16.0,,16m-30m
5777,connect,canceled,,,>9h
5778,mobile,ended,57.0,,46m-60m
5779,mobile,ended,-82.0,,retour en avance
5780,mobile,canceled,,,>9h
5781,connect,ended,-14.0,,retour en avance
5782,mobile,canceled,,,>9h
5783,connect,ended,-44.0,,retour en avance
5784,mobile,ended,-53.0,,retour en avance
5785,connect,ended,39.0,360.0,31m-45m
5786,mobile,ended,-121.0,,retour en avance
5787,mobile,ended,-25.0,,retour en avance
5788,mobile,ended,-91.0,,retour en avance
5789,connect,ended,-62.0,,retour en avance
5790,mobile,ended,-514.0,,retour en avance
5791,connect,canceled,,,>9h
5792,mobile,canceled,,,>9h
5793,connect,ended,16.0,,16m-30m
5794,mobile,ended,164.0,,2h-3h
5795,connect,ended,,,>9h
5796,mobile,ended,-30.0,,retour en avance
5797,connect,ended,-2.0,0.0,retour en avance
5798,mobile,ended,87.0,,1h-2h
5799,mobile,canceled,,,>9h
5800,mobile,ended,62.0,,1h-2h
5801,mobile,canceled,,,>9h
5802,mobile,ended,,,>9h
5803,mobile,canceled,,,>9h
5804,connect,ended,-3.0,,retour en avance
5805,mobile,ended,7.0,,1m-15m
5806,mobile,ended,9.0,,1m-15m
5807,connect,canceled,,,>9h
5808,mobile,ended,-20.0,,retour en avance
5809,mobile,ended,262.0,,4h-5h
5810,mobile,ended,-68.0,360.0,retour en avance
5811,mobile,ended,36.0,,31m-45m
5812,mobile,canceled,,,>9h
5813,mobile,ended,0.0,,0
5814,connect,ended,2.0,,1m-15m
5815,mobile,ended,19.0,,16m-30m
5816,mobile,ended,2631.0,,>9h
5817,mobile,canceled,,,>9h
5818,connect,ended,-11.0,,retour en avance
5819,mobile,ended,222.0,,3h-4h
5820,mobile,ended,-111.0,,retour en avance
5821,mobile,ended,45.0,,31m-45m
5822,connect,ended,-57.0,,retour en avance
5823,mobile,ended,,,>9h
5824,mobile,ended,-102.0,,retour en avance
5825,mobile,ended,,,>9h
5826,mobile,ended,-13.0,,retour en avance
5827,mobile,ended,134.0,,2h-3h
5828,mobile,ended,525.0,,>9h
5829,mobile,ended,-3.0,,retour en avance
5830,connect,ended,74.0,,1h-2h
5831,mobile,ended,22.0,,16m-30m
5832,mobile,canceled,,,>9h
5833,mobile,ended,-47.0,,retour en avance
5834,mobile,canceled,,480.0,>9h
5835,mobile,ended,1689.0,,>9h
5836,connect,ended,-48.0,60.0,retour en avance
5837,mobile,ended,4.0,,1m-15m
5838,mobile,ended,-53.0,630.0,retour en avance
5839,mobile,ended,-19.0,0.0,retour en avance
5840,mobile,ended,-22.0,,retour en avance
5841,connect,canceled,,,>9h
5842,mobile,canceled,,,>9h
5843,mobile,ended,151.0,,2h-3h
5844,mobile,ended,36.0,,31m-45m
5845,mobile,canceled,,,>9h
5846,connect,canceled,,,>9h
5847,mobile,ended,-43.0,,retour en avance
5848,mobile,canceled,,,>9h
5849,mobile,ended,474.0,,7h-8h
5850,mobile,ended,,,>9h
5851,mobile,ended,,,>9h
5852,mobile,ended,5.0,,1m-15m
5853,connect,ended,3.0,,1m-15m
5854,mobile,ended,-30.0,,retour en avance
5855,connect,ended,148.0,,2h-3h
5856,mobile,canceled,,,>9h
5857,mobile,ended,,,>9h
5858,mobile,ended,-14.0,,retour en avance
5859,mobile,ended,16.0,,16m-30m
5860,mobile,ended,185.0,,3h-4h
5861,mobile,ended,18.0,,16m-30m
5862,connect,ended,77.0,,1h-2h
5863,mobile,ended,24.0,,16m-30m
5864,connect,canceled,,,>9h
5865,mobile,ended,-4.0,,retour en avance
5866,mobile,ended,70.0,,1h-2h
5867,mobile,canceled,,,>9h
5868,connect,ended,-337.0,,retour en avance
5869,mobile,ended,-23.0,,retour en avance
5870,mobile,ended,64.0,,1h-2h
5871,mobile,canceled,,,>9h
5872,mobile,ended,,,>9h
5873,mobile,ended,47.0,,46m-60m
5874,mobile,ended,-13.0,,retour en avance
5875,mobile,ended,-25.0,,retour en avance
5876,mobile,ended,-58.0,,retour en avance
5877,mobile,ended,44.0,,31m-45m
5878,connect,ended,-111.0,,retour en avance
5879,mobile,canceled,,,>9h
5880,mobile,ended,37.0,,31m-45m
5881,mobile,ended,219.0,,3h-4h
5882,mobile,ended,,,>9h
5883,mobile,ended,-44.0,,retour en avance
5884,mobile,ended,37.0,,31m-45m
5885,connect,ended,-226.0,,retour en avance
5886,mobile,ended,45.0,,31m-45m
5887,mobile,canceled,,,>9h
5888,mobile,canceled,,,>9h
5889,mobile,ended,338.0,,5h-6h
5890,mobile,ended,32.0,,31m-45m
5891,mobile,ended,100.0,,1h-2h
5892,mobile,ended,27.0,,16m-30m
5893,connect,ended,-6.0,,retour en avance
5894,mobile,ended,-62.0,,retour en avance
5895,mobile,ended,37.0,0.0,31m-45m
5896,mobile,canceled,,,>9h
5897,mobile,ended,863.0,,>9h
5898,connect,ended,-942.0,,retour en avance
5899,mobile,canceled,,,>9h
5900,mobile,ended,16.0,,16m-30m
5901,mobile,ended,-6.0,,retour en avance
5902,mobile,ended,35.0,,31m-45m
5903,connect,ended,-272.0,,retour en avance
5904,mobile,canceled,,,>9h
5905,mobile,ended,83.0,,1h-2h
5906,mobile,canceled,,,>9h
5907,mobile,ended,-45.0,,retour en avance
5908,connect,ended,721.0,,>9h
5909,mobile,ended,-38.0,,retour en avance
5910,mobile,ended,-11.0,,retour en avance
5911,mobile,ended,128.0,,2h-3h
5912,mobile,ended,69.0,,1h-2h
5913,mobile,canceled,,,>9h
5914,mobile,ended,,,>9h
5915,connect,ended,-470.0,150.0,retour en avance
5916,mobile,ended,48.0,,46m-60m
5917,mobile,ended,50.0,,46m-60m
5918,mobile,canceled,,,>9h
5919,mobile,ended,21.0,,16m-30m
5920,mobile,ended,50.0,,46m-60m
5921,mobile,canceled,,,>9h
5922,connect,ended,-412.0,,retour en avance
5923,mobile,ended,-5.0,,retour en avance
5924,mobile,ended,674.0,,>9h
5925,mobile,ended,,,>9h
5926,mobile,ended,33.0,,31m-45m
5927,mobile,ended,-1426.0,,retour en avance
5928,connect,ended,141.0,,2h-3h
5929,connect,ended,-8.0,,retour en avance
5930,connect,ended,-45.0,,retour en avance
5931,mobile,ended,65.0,,1h-2h
5932,connect,ended,127.0,,2h-3h
5933,mobile,ended,,,>9h
5934,mobile,ended,-4.0,,retour en avance
5935,mobile,ended,191.0,,3h-4h
5936,connect,ended,14.0,30.0,1m-15m
5937,mobile,ended,-56.0,450.0,retour en avance
5938,mobile,canceled,,,>9h
5939,mobile,ended,42.0,,31m-45m
5940,mobile,ended,735.0,,>9h
5941,connect,ended,-18.0,,retour en avance
5942,mobile,ended,251.0,,4h-5h
5943,mobile,ended,-95.0,,retour en avance
5944,mobile,ended,-73.0,,retour en avance
5945,mobile,ended,15.0,,1m-15m
5946,mobile,ended,740.0,,>9h
5947,mobile,ended,7.0,,1m-15m
5948,connect,ended,-120.0,,retour en avance
5949,mobile,ended,21.0,,16m-30m
5950,mobile,ended,-355.0,,retour en avance
5951,connect,ended,-21.0,,retour en avance
5952,mobile,ended,62.0,210.0,1h-2h
5953,mobile,ended,-83.0,570.0,retour en avance
5954,mobile,ended,-78.0,,retour en avance
5955,connect,canceled,,,>9h
5956,mobile,ended,2.0,,1m-15m
5957,connect,ended,-245.0,0.0,retour en avance
5958,mobile,ended,35.0,,31m-45m
5959,mobile,ended,-3.0,,retour en avance
5960,connect,ended,88.0,,1h-2h
5961,mobile,ended,26.0,,16m-30m
5962,mobile,ended,163.0,,2h-3h
5963,mobile,ended,1.0,,1m-15m
5964,mobile,ended,536.0,,>9h
5965,mobile,ended,75.0,,1h-2h
5966,mobile,ended,205.0,,3h-4h
5967,mobile,ended,5406.0,,>9h
5968,mobile,ended,19.0,,16m-30m
5969,mobile,ended,-2501.0,,retour en avance
5970,mobile,ended,12.0,,1m-15m
5971,connect,canceled,,,>9h
5972,connect,ended,79.0,,1h-2h
5973,mobile,ended,-6.0,,retour en avance
5974,mobile,ended,-161.0,,retour en avance
5975,connect,ended,10.0,600.0,1m-15m
5976,connect,canceled,,720.0,>9h
5977,mobile,ended,8.0,,1m-15m
5978,mobile,ended,137.0,,2h-3h
5979,mobile,ended,2542.0,,>9h
5980,mobile,ended,27.0,,16m-30m
5981,mobile,ended,7.0,,1m-15m
5982,connect,ended,30.0,,16m-30m
5983,mobile,ended,53.0,,46m-60m
5984,mobile,ended,-580.0,,retour en avance
5985,connect,ended,66.0,720.0,1h-2h
5986,mobile,ended,-253.0,,retour en avance
5987,mobile,ended,-2869.0,,retour en avance
5988,mobile,ended,44.0,,31m-45m
5989,mobile,ended,-25.0,,retour en avance
5990,mobile,ended,0.0,,0
5991,mobile,ended,35.0,,31m-45m
5992,mobile,ended,-126.0,,retour en avance
5993,mobile,ended,152.0,,2h-3h
5994,mobile,ended,-37.0,,retour en avance
5995,mobile,canceled,,,>9h
5996,mobile,ended,-5.0,150.0,retour en avance
5997,mobile,ended,69.0,,1h-2h
5998,connect,canceled,,,>9h
5999,connect,canceled,,,>9h
6000,mobile,ended,-120.0,,retour en avance
6001,connect,ended,-59.0,,retour en avance
6002,mobile,ended,116.0,,1h-2h
6003,mobile,ended,422.0,,7h-8h
6004,connect,ended,18.0,,16m-30m
6005,mobile,ended,-121.0,,retour en avance
6006,mobile,canceled,,,>9h
6007,mobile,ended,34.0,,31m-45m
