,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes,plage_interval
162,mobile,canceled,,,>9h
163,mobile,ended,52.0,,46m-60m
164,mobile,ended,125.0,0.0,2h-3h
165,mobile,ended,,,>9h
166,mobile,ended,165.0,,2h-3h
167,mobile,ended,-25.0,,retour en avance
168,mobile,ended,,,>9h
169,mobile,ended,,,>9h
170,mobile,ended,83.0,,1h-2h
171,mobile,ended,69.0,,1h-2h
172,mobile,ended,156.0,,2h-3h
173,mobile,ended,,30.0,>9h
174,mobile,canceled,,,>9h
175,mobile,ended,12.0,,1m-15m
176,mobile,ended,50.0,180.0,46m-60m
177,mobile,ended,-7.0,,retour en avance
178,mobile,canceled,,,>9h
179,mobile,ended,183.0,,3h-4h
180,mobile,canceled,,,>9h
181,mobile,ended,-170.0,,retour en avance
182,mobile,ended,-36.0,,retour en avance
183,connect,ended,-106.0,,retour en avance
184,mobile,ended,9.0,,1m-15m
185,mobile,ended,-21.0,,retour en avance
186,mobile,ended,64.0,,1h-2h
187,mobile,ended,23.0,,16m-30m
188,mobile,ended,14.0,,1m-15m
189,mobile,ended,5.0,,1m-15m
190,mobile,ended,300.0,,4h-5h
191,mobile,ended,-18.0,,retour en avance
192,mobile,ended,,,>9h
193,mobile,ended,12.0,,1m-15m
194,connect,ended,48.0,,46m-60m
195,connect,ended,-9.0,240.0,retour en avance
196,mobile,ended,-57.0,,retour en avance
197,connect,ended,-529.0,,retour en avance
198,mobile,ended,670.0,,>9h
199,mobile,ended,-1087.0,,retour en avance
200,mobile,ended,-53.0,,retour en avance
201,connect,ended,64.0,540.0,1h-2h
202,mobile,ended,2.0,,1m-15m
203,mobile,ended,24.0,,16m-30m
204,connect,canceled,,210.0,>9h
205,mobile,ended,55.0,,46m-60m
206,mobile,ended,75.0,60.0,1h-2h
207,mobile,ended,,,>9h
208,mobile,ended,,,>9h
209,mobile,ended,-44.0,,retour en avance
210,connect,ended,-244.0,,retour en avance
211,connect,ended,337.0,,5h-6h
212,connect,ended,39.0,,31m-45m
213,mobile,ended,56.0,,46m-60m
214,mobile,canceled,,,>9h
215,mobile,ended,31.0,,31m-45m
216,mobile,ended,-23.0,,retour en avance
217,mobile,canceled,,,>9h
218,mobile,ended,233.0,,3h-4h
219,connect,ended,50.0,,46m-60m
220,mobile,ended,108.0,,1h-2h
221,mobile,ended,56.0,,46m-60m
222,mobile,ended,-2.0,,retour en avance
223,connect,ended,74.0,,1h-2h
224,mobile,ended,-31.0,,retour en avance
225,mobile,ended,7.0,,1m-15m
226,connect,canceled,,,>9h
227,mobile,ended,302.0,,5h-6h
228,connect,ended,-98.0,,retour en avance
229,mobile,ended,93.0,,1h-2h
230,mobile,ended,20.0,,16m-30m
231,connect,canceled,,,>9h
232,mobile,ended,,,>9h
233,connect,ended,-467.0,,retour en avance
234,connect,canceled,,,>9h
235,mobile,ended,20.0,,16m-30m
236,mobile,ended,69.0,,1h-2h
237,mobile,ended,-9.0,,retour en avance
238,mobile,ended,-80.0,,retour en avance
239,mobile,ended,-44.0,,retour en avance
240,mobile,ended,163.0,,2h-3h
241,mobile,ended,-2.0,,retour en avance
242,connect,canceled,,630.0,>9h
243,mobile,ended,10.0,,1m-15m
244,mobile,ended,-52.0,,retour en avance
245,mobile,canceled,,,>9h
246,mobile,ended,16.0,660.0,16m-30m
247,mobile,ended,92.0,,1h-2h
248,mobile,canceled,,,>9h
249,mobile,ended,7.0,,1m-15m
250,mobile,ended,,,>9h
251,connect,ended,-55.0,,retour en avance
252,mobile,ended,30.0,,16m-30m
253,mobile,ended,261.0,,4h-5h
254,connect,ended,84.0,,1h-2h
255,connect,ended,85.0,,1h-2h
256,mobile,ended,10.0,,1m-15m
257,mobile,ended,-113.0,,retour en avance
258,connect,ended,423.0,,7h-8h
259,mobile,ended,500.0,,>9h
260,mobile,ended,,,>9h
261,mobile,canceled,,,>9h
262,connect,ended,-5.0,,retour en avance
263,mobile,ended,1.0,,1m-15m
264,connect,ended,-548.0,,retour en avance
265,mobile,ended,266.0,30.0,4h-5h
266,mobile,ended,145.0,,2h-3h
267,connect,ended,8.0,,1m-15m
268,mobile,ended,-8.0,,retour en avance
269,mobile,ended,74.0,,1h-2h
270,mobile,ended,126.0,,2h-3h
271,mobile,ended,15.0,,1m-15m
272,mobile,canceled,,,>9h
273,mobile,ended,-8.0,,retour en avance
